Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
275.00	0.00069845	55.502	0.018017	0.13978	0.13979	0.51000	75.903	75.915	1411.4	-0.23965	1682.1	0.56022	0.075388	0.00030567	3271.5	42.830	45.115	164.06	25.580	33.980	410.33	558.89	8.9986	0.016879
285.00	0.0013890	55.479	0.018025	0.89678	0.89681	3.2139	75.397	75.533	1454.3	-0.23102	1239.3	0.58253	0.073951	0.00058676	1704.3	43.078	45.445	159.52	25.736	34.170	417.48	408.81	9.2941	0.017535
295.00	0.0026212	55.384	0.018056	1.6511	1.6512	5.8154	74.765	75.361	1487.7	-0.22362	957.83	0.60118	0.072455	0.0010703	934.36	43.324	45.773	155.38	25.898	34.374	424.46	304.01	9.6018	0.018214
305.00	0.0047193	55.233	0.018105	2.4044	2.4044	8.3264	74.038	75.300	1513.1	-0.21702	766.79	0.61711	0.070903	0.0018650	536.20	43.568	46.099	151.59	26.069	34.596	431.28	231.32	9.9196	0.018918
315.00	0.0081451	55.034	0.018171	3.1573	3.1575	10.756	73.235	75.301	1531.7	-0.21094	630.64	0.63082	0.069295	0.0031193	320.58	43.811	46.422	148.10	26.252	34.843	437.93	180.66	10.246	0.019646
325.00	0.013531	54.795	0.018250	3.9105	3.9107	13.109	72.374	75.342	1544.3	-0.20520	529.95	0.64262	0.067632	0.0050285	198.87	44.051	46.742	144.90	26.456	35.127	444.39	144.85	10.578	0.020403
335.00	0.021718	54.520	0.018342	4.6642	4.6646	15.394	71.471	75.411	1551.9	-0.19964	453.28	0.65270	0.065917	0.0078415	127.53	44.287	47.057	141.94	26.690	35.462	450.64	119.01	10.916	0.021191
345.00	0.033783	54.213	0.018446	5.4187	5.4194	17.613	70.541	75.508	1554.9	-0.19415	393.51	0.66117	0.064150	0.011867	84.269	44.520	47.367	139.20	26.963	35.862	456.67	99.902	11.258	0.022016
355.00	0.051080	53.877	0.018561	6.1743	6.1753	19.772	69.597	75.633	1553.9	-0.18862	346.02	0.66815	0.062333	0.017478	57.214	44.748	47.670	136.66	27.286	36.342	462.44	85.409	11.603	0.022880
365.00	0.075260	53.513	0.018687	6.9313	6.9327	21.875	68.651	75.791	1549.3	-0.18296	307.65	0.67369	0.060467	0.025119	39.810	44.970	47.966	134.30	27.667	36.919	467.93	74.148	11.949	0.023790
375.00	0.10830	53.122	0.018824	7.6900	7.6920	23.925	67.712	75.985	1541.5	-0.17708	276.21	0.67789	0.058555	0.035306	28.324	45.186	48.254	132.09	28.118	37.610	473.13	65.193	12.296	0.024752
385.00	0.15252	52.707	0.018973	8.4507	8.4536	25.927	66.787	76.222	1530.7	-0.17091	250.13	0.68079	0.056596	0.048634	20.562	45.395	48.531	130.02	28.647	38.434	478.01	57.909	12.644	0.025773
395.00	0.21060	52.267	0.019132	9.2139	9.2179	27.884	65.882	76.504	1517.2	-0.16436	228.26	0.68246	0.054595	0.065777	15.203	45.594	48.796	128.08	29.264	39.412	482.54	51.852	12.991	0.026858
405.00	0.28558	51.804	0.019304	9.9800	9.9855	29.800	65.001	76.838	1501.1	-0.15736	209.73	0.68296	0.052551	0.087497	11.429	45.785	49.049	126.25	29.976	40.560	486.71	46.707	13.337	0.028015
415.00	0.38087	51.316	0.019487	10.750	10.757	31.677	64.147	77.229	1482.6	-0.14982	193.89	0.68233	0.050468	0.11464	8.7226	45.964	49.287	124.52	30.788	41.894	490.49	42.254	13.681	0.029250
425.00	0.50025	50.805	0.019683	11.523	11.533	33.519	63.322	77.682	1461.8	-0.14164	180.23	0.68062	0.048346	0.14817	6.7490	46.132	49.508	122.87	31.697	43.425	493.86	38.339	14.025	0.030573
435.00	0.64787	50.270	0.019892	12.301	12.314	35.328	62.526	78.205	1438.8	-0.13271	168.35	0.67822	0.046189	0.18913	5.2874	46.287	49.712	121.30	32.700	45.164	496.81	34.859	14.367	0.031990
445.00	0.82824	49.711	0.020116	13.084	13.101	37.108	61.761	78.805	1413.7	-0.12293	157.95	0.67481	0.043999	0.23869	4.1895	46.427	49.897	119.80	33.788	47.117	499.32	31.744	14.708	0.033510
455.00	1.0462	49.126	0.020356	13.873	13.894	38.862	61.027	79.491	1386.5	-0.11214	148.76	0.67039	0.041777	0.29818	3.3537	46.552	50.061	118.35	34.953	49.293	501.39	28.945	15.048	0.035143
465.00	1.3069	48.514	0.020612	14.668	14.695	40.591	60.324	80.274	1357.3	-0.10017	140.60	0.66504	0.039527	0.36904	2.7097	46.660	50.202	116.95	36.184	51.705	502.98	26.427	15.388	0.036898
475.00	1.6160	47.875	0.020888	15.471	15.504	42.300	59.651	81.168	1326.1	-0.086840	133.29	0.65879	0.037252	0.45294	2.2078	46.750	50.318	115.59	37.472	54.371	504.09	24.163	15.729	0.038787
