p	x1	y1	t	source
0.2061	0.018	0.227	318.1	https://doi.org/10.1051/jcp/1973700843
0.229	0.043	0.313	318.1	https://doi.org/10.1051/jcp/1973700843
0.2554	0.14	0.4	318.1	https://doi.org/10.1051/jcp/1973700843
0.2557	0.152	0.406	318.1	https://doi.org/10.1051/jcp/1973700843
0.2717	0.3328	0.481	318.1	https://doi.org/10.1051/jcp/1973700843
0.2756	0.415	0.495	318.1	https://doi.org/10.1051/jcp/1973700843
0.2766	0.492	0.509	318.1	https://doi.org/10.1051/jcp/1973700843
0.2761	0.5125	0.5125	318.1	https://doi.org/10.1051/jcp/1973700843
0.2761	0.514	0.513	318.1	https://doi.org/10.1051/jcp/1973700843
0.2748	0.62	0.537	318.1	https://doi.org/10.1051/jcp/1973700843
0.2734	0.658	0.547	318.1	https://doi.org/10.1051/jcp/1973700843
0.273	0.666	0.554	318.1	https://doi.org/10.1051/jcp/1973700843
0.2716	0.703	0.56	318.1	https://doi.org/10.1051/jcp/1973700843
0.2694	0.73	0.579	318.1	https://doi.org/10.1051/jcp/1973700843
0.2661	0.774	0.589	318.1	https://doi.org/10.1051/jcp/1973700843
0.2525	0.854	0.654	318.1	https://doi.org/10.1051/jcp/1973700843
0.2492	0.874	0.67	318.1	https://doi.org/10.1051/jcp/1973700843
0.2401	0.902	0.707	318.1	https://doi.org/10.1051/jcp/1973700843
0.2336	0.922	0.733	318.1	https://doi.org/10.1051/jcp/1973700843
0.2161	0.955	0.811	318.1	https://doi.org/10.1051/jcp/1973700843
0.2817	0.0066	0.1004	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.3415	0.0259	0.2692	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.3982	0.0797	0.3897	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.432	0.1739	0.4458	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.4496	0.2737	0.4834	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.4593	0.3859	0.5189	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.4595	0.7036	0.6005	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.4496	0.7922	0.6336	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.4321	0.8649	0.6921	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.4314	0.8665	0.6944	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.4158	0.9051	0.7387	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.3973	0.9365	0.7871	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.3779	0.9586	0.8465	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.3608	0.9754	0.8953	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.3463	0.9883	0.9397	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.3362	0.9958	0.9799	330.0	https://doi.org/10.1016/j.jct.2011.09.007
0.4057	0.008	0.1065	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.5792	0.0873	0.392	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.6375	0.1646	0.4641	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.6679	0.2636	0.5048	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.6863	0.3782	0.5358	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.6953	0.4823	0.5642	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.6984	0.5955	0.5963	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.6952	0.6949	0.6224	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.6843	0.7882	0.6624	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.6422	0.896	0.7543	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.6185	0.9299	0.7998	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.5936	0.951	0.8537	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.5697	0.9721	0.9054	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.5495	0.986	0.9498	340.0	https://doi.org/10.1016/j.jct.2011.09.007
0.5346	0.9956	0.9804	340.0	https://doi.org/10.1016/j.jct.2011.09.007
