temperature / K,pressure / bar,density / kg/m3
350.0,3.0,603.3433162626251
350.0,4.0,599.1132216697094
350.0,5.0,610.4151065630289
350.0,6.0,598.9823362225804
350.0,7.0,604.8184160777041
350.0,8.0,616.1463504957161
350.0,9.0,610.7821968537886
350.0,10.0,609.9827742748857
350.0,11.0,604.8549325648993
350.0,12.0,604.5223108432866
350.0,13.0,608.4217403073151
350.0,14.0,606.745757498299
350.0,15.0,598.8759733954658
350.0,16.0,618.448157532986
350.0,17.0,602.7955293842575
350.0,18.0,614.6764875269482
350.0,19.0,601.3973833967167
350.0,20.0,615.8821540775406
350.0,21.0,618.4678109907848
350.0,22.0,610.6311543126333
350.0,23.0,606.7401156282276
350.0,24.0,614.277181198302
350.0,25.0,609.204751063009
350.0,26.0,608.7930617185224
350.0,27.0,600.7956479080012
350.0,28.0,606.3507009382878
350.0,29.0,606.7463810669948
350.0,30.0,618.690141408416
350.0,31.0,617.4869489001886
350.0,32.0,622.3909762616244
350.0,33.0,629.5576749101834
350.0,34.0,602.6442467849649
350.0,35.0,617.0878543289906
350.0,36.0,612.9046318734112
350.0,37.0,612.4836039890583
350.0,38.0,620.3802115280514
350.0,39.0,609.0129438924536
350.0,40.0,611.2981310407982
350.0,41.0,621.4542616162036
350.0,42.0,614.1171188244015
350.0,43.0,617.2415023006573
350.0,44.0,612.1684174243139
350.0,45.0,609.7254143243466
350.0,46.0,620.7619441911162
350.0,47.0,625.5175609550494
350.0,48.0,605.7986958450574
350.0,49.0,608.5851763421251
350.0,50.0,609.0102267767329
400.0,5.0,553.7120559785469
400.0,6.0,556.0917979051169
400.0,7.0,548.6431757681518
400.0,8.0,537.4333978149851
400.0,9.0,545.4186469785827
400.0,10.0,546.8770517197061
400.0,11.0,533.0550730101279
400.0,12.0,547.7395244977359
400.0,13.0,549.533389049619
400.0,14.0,563.6363611983599
400.0,15.0,555.6695451969309
400.0,16.0,555.3207350066909
400.0,17.0,550.0579706748588
400.0,18.0,549.9977514213923
400.0,19.0,559.2140847050072
400.0,20.0,555.4473702103151
400.0,21.0,553.8127527350648
400.0,22.0,550.502540118996
400.0,23.0,560.6092387968739
400.0,24.0,566.9038434391392
400.0,25.0,553.1741028263295
400.0,26.0,553.2091679700608
400.0,27.0,556.394953769024
400.0,28.0,558.4932782527848
400.0,29.0,563.5072424486025
400.0,30.0,558.9311634085338
400.0,31.0,554.9818337246614
400.0,32.0,552.4458069523607
400.0,33.0,556.1443202037068
400.0,34.0,563.3527917671141
400.0,35.0,559.7735040713233
400.0,36.0,570.7362936250613
400.0,37.0,562.4912434132942
400.0,38.0,559.2160220126917
400.0,39.0,560.2495812881323
400.0,40.0,567.1712601004208
400.0,41.0,561.8629053446141
400.0,42.0,559.8114413427745
400.0,43.0,569.2203200201093
400.0,44.0,563.9731779938268
400.0,45.0,561.1120378071715
400.0,46.0,558.0706142269768
400.0,47.0,570.2796071721599
400.0,48.0,576.6946375772059
400.0,49.0,564.1919300769248
400.0,50.0,561.1506435421175
450.0,17.0,484.48479347744467
450.0,18.0,479.165934657752
450.0,19.0,484.784948429577
450.0,20.0,484.99763945096043
450.0,21.0,492.4877024445947
450.0,22.0,489.49362862430456
450.0,23.0,481.9215193681872
450.0,24.0,491.2342617481163
450.0,25.0,485.8365930436647
450.0,26.0,490.83997722210205
450.0,27.0,489.57288936537975
450.0,28.0,483.06011782445773
450.0,29.0,484.28005939893217
450.0,30.0,495.04154970429806
450.0,31.0,499.820041535314
450.0,32.0,497.1041785044275
450.0,33.0,489.59952074744507
450.0,34.0,490.566950456624
450.0,35.0,494.64182547714915
450.0,36.0,502.6165102436079
450.0,37.0,494.5809781024665
450.0,38.0,504.98304307518
450.0,39.0,496.15093204697257
450.0,40.0,504.07975025386986
450.0,41.0,493.54256969442275
450.0,42.0,504.0044531780472
450.0,43.0,526.2299718057731
450.0,44.0,498.5532378218332
450.0,45.0,503.12353023474634
450.0,46.0,497.0347681289733
450.0,47.0,505.47811275857543
450.0,48.0,507.12581912443113
450.0,49.0,505.5582519151179
450.0,50.0,501.58154155830647
450.0,51.0,500.6721502799526
450.0,52.0,509.70996424060473
450.0,53.0,503.73514233117
450.0,54.0,505.83132277884835
450.0,55.0,501.07120369381573
450.0,56.0,503.78301801486606
450.0,57.0,503.01039517050236
450.0,58.0,518.1442277971302
450.0,59.0,510.86536859930817
450.0,60.0,509.53638587051114
450.0,61.0,504.506036756168
450.0,62.0,512.9249827734735
450.0,63.0,498.30420378485303
450.0,64.0,508.22776762975883
450.0,65.0,504.5387288295917
450.0,66.0,520.650146963982
450.0,67.0,516.4251929087095
450.0,68.0,510.3511730712939
450.0,69.0,516.9703094260249
450.0,70.0,513.8675057076377
450.0,71.0,515.3839790345199
450.0,72.0,502.8042979697249
450.0,73.0,513.1430654070788
450.0,74.0,517.6565141408439
450.0,75.0,515.4839574913082
500.0,30.0,373.9540296468808
500.0,31.0,369.4014994303369
500.0,32.0,380.53385328939396
500.0,33.0,377.46381368466723
500.0,34.0,390.1854236761269
500.0,35.0,389.78454754749833
500.0,36.0,389.7264100356803
500.0,37.0,392.3985327579745
500.0,38.0,397.5165594506124
500.0,39.0,392.8340872934888
500.0,40.0,399.5858946376585
500.0,41.0,398.44542529331113
500.0,42.0,403.29210464406515
500.0,43.0,404.8832600399611
500.0,44.0,407.22187080476573
500.0,45.0,405.33335318008426
500.0,46.0,417.2933567426884
500.0,47.0,411.7535115960278
500.0,48.0,418.055761476537
500.0,49.0,417.0024545606512
500.0,50.0,418.6124836811744
500.0,51.0,420.51951722988474
500.0,52.0,417.1208842522854
500.0,53.0,425.98177671855336
500.0,54.0,415.27696374840053
500.0,55.0,428.9191469989607
500.0,56.0,431.9428504646053
500.0,57.0,425.20751657586055
500.0,58.0,431.9719770940217
500.0,59.0,429.6476503396437
500.0,60.0,427.57949381932036
500.0,61.0,441.43182336285264
500.0,62.0,441.6024437869026
500.0,63.0,430.44989610348694
500.0,64.0,437.9098715734616
500.0,65.0,436.9066050544091
500.0,66.0,442.5753558436828
500.0,67.0,440.00391220582554
500.0,68.0,436.4600367362062
500.0,69.0,443.4154973115364
500.0,70.0,436.91269761939714
500.0,71.0,468.0574469096655
500.0,72.0,445.31650559519284
500.0,73.0,434.91987800317855
500.0,74.0,453.66728278421954
500.0,75.0,441.9710636757062
500.0,76.0,447.9904476558742
500.0,77.0,451.837398524302
500.0,78.0,445.3676065156396
500.0,79.0,450.7142261068397
500.0,80.0,448.08583606702086
500.0,81.0,455.1169936713768
500.0,82.0,454.9563644851747
500.0,83.0,457.0511650682785
500.0,84.0,449.1472551348648
500.0,85.0,453.01102307398526
500.0,86.0,454.04347748531535
500.0,87.0,450.766664850108
500.0,88.0,456.72911807985014
500.0,89.0,452.3300084264241
500.0,90.0,463.82622998179585
500.0,91.0,473.93226630078834
500.0,92.0,457.48376511217936
500.0,93.0,456.43049568920185
500.0,94.0,464.37992544033676
500.0,95.0,462.04672406916995
500.0,96.0,464.13440991116795
500.0,97.0,460.5178514867119
500.0,98.0,457.82678682955293
500.0,99.0,467.7924115301135
500.0,100.0,470.8954622862701
500.0,101.0,464.1183186498572
500.0,102.0,466.2394862416614
500.0,103.0,469.36263212080667
500.0,104.0,459.52355389773254
500.0,105.0,466.8542225461191
500.0,106.0,462.21970581604506
500.0,107.0,471.83677095519323
500.0,108.0,466.4729944644651
500.0,109.0,466.83355281545346
500.0,110.0,471.011374053168
500.0,111.0,472.80764007406395
500.0,112.0,475.03559758542895
500.0,113.0,466.87818118249766
500.0,114.0,472.2307516072766
500.0,115.0,480.4805931648411
500.0,116.0,471.2736191485617
500.0,117.0,476.70043099375937
500.0,118.0,476.0968135671749
500.0,119.0,479.15547788966256
500.0,120.0,470.23243486651285
500.0,121.0,478.70850143080827
500.0,122.0,476.3402196837817
500.0,123.0,475.21896013627844
500.0,124.0,494.24415892915306
500.0,125.0,467.94234658965524
500.0,126.0,471.834731658159
500.0,127.0,480.5483729280001
500.0,128.0,486.96252014681016
500.0,129.0,478.55389969058893
500.0,130.0,472.2965935347497
500.0,131.0,482.9740469320371
500.0,132.0,482.65445077366917
500.0,133.0,501.04704209942145
500.0,134.0,480.11238208310584
500.0,135.0,475.1016232925851
500.0,136.0,477.64282689472475
500.0,137.0,485.88602038174133
500.0,138.0,487.14603804917414
500.0,139.0,488.9440734455953
500.0,140.0,483.07200810489604
500.0,141.0,501.05550161523405
500.0,142.0,475.4921658637216
500.0,143.0,483.6119523880473
500.0,144.0,481.6358961191
500.0,145.0,488.38775206458695
500.0,146.0,485.61780458737496
500.0,147.0,481.2520266802343
500.0,148.0,481.8803238546376
500.0,149.0,490.99336750665856
500.0,150.0,489.52160234693423
