Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
350.00	3.0000	605.52	0.0016515	1.7158	1.7584	5.0021	168.62	216.40	849.15	-0.027111	187.21	0.10572	liquid
350.00	4.0000	605.69	0.0016510	1.7074	1.7643	4.9782	168.62	216.35	850.34	-0.027190	187.48	0.10578	liquid
350.00	5.0000	605.87	0.0016505	1.6991	1.7702	4.9544	168.62	216.30	851.52	-0.027269	187.75	0.10584	liquid
350.00	6.0000	606.05	0.0016500	1.6908	1.7761	4.9306	168.62	216.25	852.70	-0.027347	188.02	0.10590	liquid
350.00	7.0000	606.22	0.0016496	1.6825	1.7820	4.9069	168.62	216.20	853.88	-0.027424	188.29	0.10596	liquid
350.00	8.0000	606.40	0.0016491	1.6743	1.7880	4.8833	168.62	216.15	855.05	-0.027501	188.56	0.10603	liquid
350.00	9.0000	606.57	0.0016486	1.6661	1.7939	4.8597	168.63	216.10	856.22	-0.027577	188.83	0.10609	liquid
350.00	10.000	606.75	0.0016481	1.6579	1.7999	4.8362	168.63	216.04	857.38	-0.027653	189.09	0.10615	liquid
350.00	11.000	606.92	0.0016477	1.6497	1.8059	4.8127	168.63	216.00	858.55	-0.027729	189.36	0.10621	liquid
350.00	12.000	607.10	0.0016472	1.6415	1.8119	4.7892	168.63	215.95	859.71	-0.027803	189.63	0.10627	liquid
350.00	13.000	607.27	0.0016467	1.6334	1.8179	4.7659	168.63	215.90	860.86	-0.027877	189.90	0.10633	liquid
350.00	14.000	607.44	0.0016462	1.6253	1.8239	4.7425	168.63	215.85	862.01	-0.027951	190.16	0.10639	liquid
350.00	15.000	607.61	0.0016458	1.6172	1.8300	4.7193	168.64	215.80	863.16	-0.028024	190.43	0.10645	liquid
350.00	16.000	607.79	0.0016453	1.6091	1.8360	4.6961	168.64	215.75	864.31	-0.028097	190.69	0.10651	liquid
350.00	17.000	607.96	0.0016449	1.6011	1.8421	4.6729	168.64	215.70	865.45	-0.028169	190.96	0.10657	liquid
350.00	18.000	608.13	0.0016444	1.5931	1.8482	4.6498	168.64	215.66	866.59	-0.028241	191.22	0.10663	liquid
350.00	19.000	608.30	0.0016439	1.5851	1.8543	4.6267	168.64	215.61	867.73	-0.028312	191.49	0.10669	liquid
350.00	20.000	608.47	0.0016435	1.5771	1.8604	4.6037	168.65	215.56	868.86	-0.028383	191.75	0.10675	liquid
350.00	21.000	608.64	0.0016430	1.5692	1.8665	4.5808	168.65	215.51	869.99	-0.028453	192.02	0.10681	liquid
