Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
250.00	0.015229	697.23	0.0014343	-17.983	-17.983	-60.956	138.32	180.84	1301.5	-0.047256	510.14	0.13614	0.023027	0.063272	15.805	14.234	16.308	76.208	116.89	125.30	160.45	8.2140	5.2533	0.010233
251.00	0.016265	696.37	0.0014360	-17.802	-17.802	-60.234	138.55	181.10	1296.7	-0.047120	503.60	0.13578	0.022918	0.067316	14.855	14.350	16.432	76.158	117.23	125.64	160.74	8.1241	5.2745	0.010299
252.00	0.017361	695.51	0.0014378	-17.621	-17.621	-59.513	138.77	181.37	1292.0	-0.046982	497.20	0.13541	0.022809	0.071574	13.971	14.467	16.557	76.113	117.57	125.98	161.03	8.0350	5.2957	0.010366
253.00	0.018519	694.64	0.0014396	-17.440	-17.439	-58.795	139.00	181.63	1287.2	-0.046843	490.92	0.13505	0.022700	0.076057	13.148	14.584	16.682	76.073	117.91	126.33	161.31	7.9468	5.3168	0.010433
254.00	0.019743	693.78	0.0014414	-17.258	-17.258	-58.078	139.23	181.90	1282.5	-0.046704	484.77	0.13469	0.022591	0.080774	12.380	14.701	16.807	76.036	118.25	126.68	161.60	7.8594	5.3380	0.010500
255.00	0.021035	692.92	0.0014432	-17.076	-17.076	-57.362	139.46	182.17	1277.7	-0.046562	478.73	0.13432	0.022483	0.085733	11.664	14.819	16.933	76.004	118.60	127.03	161.88	7.7730	5.3591	0.010568
256.00	0.022398	692.05	0.0014450	-16.894	-16.893	-56.649	139.69	182.44	1273.0	-0.046420	472.81	0.13396	0.022374	0.090946	10.996	14.936	17.059	75.976	118.94	127.38	162.16	7.6874	5.3802	0.010636
257.00	0.023835	691.19	0.0014468	-16.711	-16.711	-55.937	139.93	182.71	1268.2	-0.046277	467.00	0.13361	0.022266	0.096420	10.371	15.055	17.185	75.952	119.29	127.74	162.45	7.6027	5.4013	0.010704
258.00	0.025351	690.32	0.0014486	-16.528	-16.528	-55.227	140.17	182.99	1263.5	-0.046132	461.30	0.13325	0.022157	0.10217	9.7878	15.173	17.311	75.933	119.64	128.09	162.73	7.5189	5.4224	0.010773
259.00	0.026947	689.46	0.0014504	-16.345	-16.345	-54.519	140.41	183.27	1258.8	-0.045986	455.71	0.13289	0.022049	0.10820	9.2422	15.292	17.438	75.917	119.99	128.45	163.00	7.4360	5.4435	0.010842
260.00	0.028628	688.59	0.0014522	-16.162	-16.161	-53.812	140.65	183.55	1254.0	-0.045839	450.23	0.13254	0.021941	0.11452	8.7317	15.411	17.565	75.905	120.35	128.81	163.28	7.3539	5.4645	0.010911
261.00	0.030397	687.72	0.0014541	-15.978	-15.978	-53.107	140.90	183.83	1249.3	-0.045691	444.84	0.13219	0.021833	0.12116	8.2539	15.530	17.692	75.897	120.70	129.18	163.55	7.2728	5.4855	0.010981
262.00	0.032257	686.85	0.0014559	-15.794	-15.794	-52.403	141.15	184.12	1244.6	-0.045542	439.55	0.13183	0.021724	0.12810	7.8062	15.650	17.820	75.893	121.06	129.54	163.83	7.1925	5.5065	0.011051
263.00	0.034213	685.98	0.0014578	-15.610	-15.609	-51.701	141.40	184.41	1239.9	-0.045391	434.36	0.13148	0.021616	0.13538	7.3867	15.770	17.948	75.893	121.42	129.91	164.10	7.1130	5.5275	0.011121
264.00	0.036268	685.11	0.0014596	-15.425	-15.425	-51.001	141.65	184.70	1235.2	-0.045239	429.27	0.13113	0.021509	0.14299	6.9933	15.890	18.076	75.896	121.78	130.28	164.37	7.0345	5.5485	0.011192
265.00	0.038426	684.24	0.0014615	-15.240	-15.240	-50.302	141.90	184.99	1230.5	-0.045086	424.26	0.13079	0.021401	0.15096	6.6242	16.011	18.205	75.904	122.14	130.65	164.64	6.9568	5.5694	0.011263
266.00	0.040692	683.37	0.0014633	-15.055	-15.055	-49.605	142.16	185.28	1225.8	-0.044932	419.34	0.13044	0.021293	0.15929	6.2778	16.132	18.333	75.915	122.50	131.02	164.90	6.8800	5.5903	0.011334
267.00	0.043069	682.49	0.0014652	-14.870	-14.869	-48.909	142.41	185.58	1221.1	-0.044777	414.51	0.13010	0.021185	0.16800	5.9523	16.253	18.463	75.929	122.87	131.39	165.17	6.8040	5.6112	0.011405
268.00	0.045562	681.62	0.0014671	-14.684	-14.684	-48.215	142.67	185.88	1216.4	-0.044621	409.76	0.12975	0.021078	0.17710	5.6465	16.375	18.592	75.947	123.24	131.77	165.43	6.7289	5.6321	0.011477
269.00	0.048175	680.74	0.0014690	-14.498	-14.497	-47.522	142.94	186.18	1211.7	-0.044463	405.10	0.12941	0.020971	0.18660	5.3590	16.497	18.722	75.969	123.60	132.15	165.69	6.6547	5.6530	0.011549
270.00	0.050913	679.87	0.0014709	-14.312	-14.311	-46.831	143.20	186.49	1207.0	-0.044304	400.52	0.12907	0.020863	0.19652	5.0885	16.619	18.851	75.994	123.97	132.53	165.95	6.5813	5.6738	0.011622
271.00	0.053781	678.99	0.0014728	-14.125	-14.124	-46.141	143.47	186.79	1202.4	-0.044145	396.01	0.12873	0.020756	0.20687	4.8339	16.741	18.982	76.022	124.35	132.91	166.21	6.5088	5.6946	0.011694
272.00	0.056782	678.11	0.0014747	-13.938	-13.937	-45.452	143.73	187.10	1197.7	-0.043983	391.58	0.12839	0.020649	0.21767	4.5941	16.864	19.112	76.054	124.72	133.29	166.47	6.4371	5.7154	0.011767
273.00	0.059922	677.24	0.0014766	-13.751	-13.750	-44.765	144.00	187.41	1193.0	-0.043821	387.23	0.12805	0.020542	0.22892	4.3683	16.987	19.243	76.089	125.09	133.68	166.72	6.3662	5.7362	0.011841
274.00	0.063207	676.36	0.0014785	-13.563	-13.563	-44.079	144.27	187.72	1188.4	-0.043658	382.94	0.12772	0.020435	0.24065	4.1554	17.111	19.374	76.128	125.47	134.07	166.98	6.2962	5.7569	0.011914
275.00	0.066640	675.47	0.0014804	-13.376	-13.375	-43.395	144.55	188.04	1183.7	-0.043493	378.73	0.12738	0.020328	0.25287	3.9546	17.234	19.505	76.169	125.85	134.46	167.23	6.2270	5.7777	0.011988
276.00	0.070228	674.59	0.0014824	-13.187	-13.186	-42.712	144.82	188.35	1179.1	-0.043327	374.59	0.12705	0.020221	0.26559	3.7652	17.358	19.637	76.214	126.22	134.85	167.48	6.1587	5.7984	0.012062
277.00	0.073976	673.71	0.0014843	-12.999	-12.998	-42.030	145.10	188.67	1174.4	-0.043160	370.51	0.12671	0.020114	0.27883	3.5864	17.483	19.769	76.262	126.60	135.24	167.72	6.0912	5.8190	0.012137
278.00	0.077888	672.83	0.0014863	-12.810	-12.809	-41.350	145.38	188.99	1169.8	-0.042992	366.51	0.12638	0.020008	0.29261	3.4175	17.607	19.901	76.313	126.99	135.64	167.97	6.0245	5.8397	0.012212
279.00	0.081972	671.94	0.0014882	-12.621	-12.620	-40.671	145.66	189.31	1165.1	-0.042823	362.56	0.12605	0.019901	0.30694	3.2580	17.732	20.034	76.368	127.37	136.03	168.21	5.9586	5.8603	0.012287
280.00	0.086231	671.05	0.0014902	-12.431	-12.430	-39.993	145.94	189.64	1160.5	-0.042652	358.68	0.12573	0.019795	0.32184	3.1072	17.858	20.167	76.425	127.75	136.43	168.45	5.8935	5.8809	0.012362
281.00	0.090673	670.17	0.0014922	-12.242	-12.241	-39.316	146.22	189.97	1155.9	-0.042480	354.86	0.12540	0.019689	0.33732	2.9646	17.983	20.300	76.485	128.14	136.83	168.69	5.8292	5.9015	0.012438
282.00	0.095304	669.28	0.0014941	-12.052	-12.050	-38.641	146.51	190.29	1151.3	-0.042307	351.10	0.12507	0.019583	0.35340	2.8296	18.109	20.433	76.548	128.53	137.23	168.93	5.7657	5.9221	0.012514
283.00	0.10013	668.39	0.0014961	-11.861	-11.860	-37.967	146.79	190.62	1146.6	-0.042133	347.40	0.12475	0.019476	0.37011	2.7019	18.235	20.567	76.615	128.92	137.64	169.16	5.7030	5.9426	0.012590
284.00	0.10515	667.50	0.0014981	-11.670	-11.669	-37.294	147.08	190.96	1142.0	-0.041958	343.76	0.12442	0.019370	0.38744	2.5810	18.362	20.701	76.684	129.31	138.04	169.40	5.6411	5.9631	0.012667
285.00	0.11039	666.61	0.0015001	-11.479	-11.478	-36.622	147.37	191.29	1137.4	-0.041781	340.17	0.12410	0.019264	0.40544	2.4665	18.489	20.835	76.755	129.70	138.45	169.63	5.5800	5.9836	0.012743
