#T(K)	rho*1e27 (1/m3)	sigma (mN/m)
20.0	0.378826528	3.528484552
20.0	0.885437394	3.396736336
20.0	1.329331921	3.311359511
20.0	1.887974016	3.243862616
20.0	2.446914895	3.15835896
20.0	3.182807479	3.075232574
20.0	3.926952213	3.028109953
20.0	4.627403235	2.947594986
20.0	5.150689136	2.877564721
20.0	6.409440785	2.750132014
20.0	7.082830447	2.700515048
21.0	0.303404723	3.27390532
21.0	0.800482934	3.183325169
21.0	1.226379237	3.115974618
21.0	1.749494403	3.05623393
21.0	2.255465017	2.963071629
21.0	2.94706632	2.882566419
21.0	3.655940227	2.827765639
21.0	4.329714041	2.754997124
21.0	5.02127266	2.677064308
21.0	6.014148575	2.573075836
21.0	6.652096676	2.52607029
22.0	0.245340889	3.03988573
22.0	0.706166551	3.000792491
22.0	1.096450559	2.946342936
22.0	1.566851561	2.863509237
22.0	2.081202375	2.798633517
22.0	2.719406577	2.736193604
22.0	3.393180391	2.663425089
22.0	4.040490413	2.585541054
22.0	4.687032133	2.553960117
22.0	5.644423803	2.45515546
22.0	6.211616832	2.405655568
23.0	0.150768405	2.872787418
23.0	0.585087593	2.831151053
23.0	0.984349371	2.768974559
23.0	1.4452604	2.724736531
23.0	1.924468438	2.64446547
23.0	2.527316446	2.579492188
23.0	3.210281447	2.486134762
23.0	3.74245975	2.413522347
23.0	4.354029427	2.356256491
23.0	5.257682528	2.296096286
23.0	5.833810644	2.24144185
23.0	7.260493544	2.126685746
24.0	0.171541059	2.687555514
24.0	0.49064316	2.656335558
24.0	0.863398463	2.591615938
24.0	1.298059119	2.529400418
24.0	1.74977896	2.505751301
24.0	2.326333911	2.425372922
24.0	2.920844402	2.329540664
24.0	3.488037431	2.280040773
24.0	4.055187777	2.233113276
24.0	4.906724283	2.113846538
24.0	5.456260557	2.061793765
24.0	6.811206664	2.003708386
26.0	0.179181411	2.22709693
26.0	0.568910533	2.206088501
26.0	0.968940615	2.097608909
26.0	1.377222847	2.025133081
26.0	1.900039228	1.983399154
26.0	2.449703553	1.923629198
26.0	2.955332698	1.851046051
26.0	3.47827713	1.801594941
26.0	4.231186216	1.759607352
26.0	4.718646404	1.715340056
26.0	5.959698614	1.587926861
26.0	7.120463096	1.499187387
