#T(K)	rho (g/cm3)	sigma (mN/m)
15.0	0.004266738	2.686107339
15.0	0.008248182	2.608473586
15.0	0.012905049	2.517656594
15.0	0.018023356	2.437312514
15.0	0.022536497	2.392389508
15.0	0.027299094	2.325299715
15.0	0.036823076	2.225193933
17.0	0.003138874	2.435486333
17.0	0.006621828	2.390334396
17.0	0.010781206	2.303851295
17.0	0.014655867	2.232119739
17.0	0.018636258	2.184115381
17.0	0.022687749	2.134645342
17.0	0.030612955	2.040110202
17.0	0.038430484	1.976662246
19.0	0.001798657	2.162595914
19.0	0.005139937	2.105560643
19.0	0.008481322	2.045562432
19.0	0.011857968	1.992979465
19.0	0.015269875	1.94781174
19.0	0.018681834	1.901162546
19.0	0.025469334	1.83304125
19.0	0.032115318	1.748592209
21.0	0.001098393	1.875032892
21.0	0.003195975	1.828091614
21.0	0.006110655	1.779850432
21.0	0.009060648	1.737543023
21.0	0.012046481	1.68635469
21.0	0.014960845	1.647002326
21.0	0.020753997	1.569771175
21.0	0.026581989	1.511807025
21.0	0.033617891	1.451148336
