Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
83.806	0.068891	1416.8	0.00070583	-4.8531	-4.8512	53.110	21.956	44.570	862.43	-0.40500	290.17	0.13368	0.013404	liquid
84.306	0.072952	1413.7	0.00070735	-4.8309	-4.8288	53.375	21.874	44.568	859.01	-0.40346	285.62	0.13294	0.013279	liquid
84.806	0.077197	1410.7	0.00070887	-4.8086	-4.8064	53.638	21.794	44.570	855.58	-0.40185	281.17	0.13220	0.013154	liquid
85.306	0.081631	1407.6	0.00071041	-4.7864	-4.7841	53.899	21.716	44.575	852.14	-0.40016	276.81	0.13146	0.013029	liquid
85.806	0.086259	1404.6	0.00071195	-4.7642	-4.7617	54.159	21.639	44.584	848.69	-0.39839	272.54	0.13072	0.012905	liquid
86.306	0.091086	1401.5	0.00071351	-4.7419	-4.7393	54.418	21.563	44.597	845.24	-0.39655	268.36	0.12998	0.012781	liquid
86.806	0.096120	1398.5	0.00071508	-4.7197	-4.7169	54.675	21.489	44.613	841.78	-0.39463	264.27	0.12925	0.012657	liquid
87.306	0.10136	1395.4	0.00071665	-4.6974	-4.6945	54.930	21.416	44.632	838.31	-0.39263	260.26	0.12851	0.012533	liquid
87.806	0.10683	1392.3	0.00071824	-4.6752	-4.6721	55.185	21.345	44.654	834.83	-0.39056	256.34	0.12778	0.012410	liquid
88.306	0.11251	1389.2	0.00071985	-4.6529	-4.6497	55.438	21.274	44.680	831.34	-0.38841	252.50	0.12705	0.012286	liquid
88.806	0.11842	1386.1	0.00072146	-4.6306	-4.6272	55.689	21.205	44.708	827.84	-0.38618	248.73	0.12632	0.012163	liquid
89.306	0.12457	1383.0	0.00072308	-4.6084	-4.6048	55.939	21.136	44.740	824.34	-0.38388	245.04	0.12559	0.012041	liquid
89.806	0.13096	1379.8	0.00072472	-4.5861	-4.5823	56.189	21.069	44.775	820.82	-0.38150	241.43	0.12486	0.011918	liquid
90.306	0.13759	1376.7	0.00072637	-4.5638	-4.5598	56.436	21.003	44.812	817.30	-0.37904	237.89	0.12413	0.011796	liquid
90.806	0.14448	1373.6	0.00072803	-4.5414	-4.5372	56.683	20.938	44.852	813.76	-0.37651	234.42	0.12341	0.011674	liquid
91.306	0.15163	1370.4	0.00072971	-4.5191	-4.5147	56.928	20.873	44.895	810.22	-0.37390	231.01	0.12268	0.011552	liquid
91.806	0.15904	1367.2	0.00073140	-4.4967	-4.4921	57.173	20.810	44.941	806.66	-0.37121	227.68	0.12196	0.011431	liquid
92.306	0.16672	1364.1	0.00073310	-4.4744	-4.4695	57.416	20.747	44.990	803.10	-0.36844	224.41	0.12124	0.011310	liquid
92.806	0.17468	1360.9	0.00073482	-4.4520	-4.4468	57.658	20.685	45.042	799.53	-0.36560	221.21	0.12051	0.011189	liquid
93.306	0.18292	1357.7	0.00073655	-4.4295	-4.4242	57.899	20.625	45.096	795.94	-0.36267	218.07	0.11979	0.011068	liquid
93.806	0.19146	1354.5	0.00073829	-4.4071	-4.4015	58.139	20.564	45.153	792.35	-0.35966	214.99	0.11907	0.010948	liquid
94.306	0.20029	1351.3	0.00074005	-4.3847	-4.3787	58.378	20.505	45.213	788.75	-0.35657	211.96	0.11835	0.010827	liquid
94.806	0.20942	1348.0	0.00074182	-4.3622	-4.3560	58.616	20.446	45.276	785.13	-0.35340	209.00	0.11764	0.010708	liquid
95.306	0.21886	1344.8	0.00074361	-4.3397	-4.3332	58.853	20.389	45.341	781.51	-0.35014	206.09	0.11692	0.010588	liquid
95.806	0.22861	1341.5	0.00074542	-4.3171	-4.3103	59.089	20.332	45.409	777.87	-0.34680	203.24	0.11620	0.010469	liquid
96.306	0.23869	1338.3	0.00074724	-4.2946	-4.2874	59.324	20.275	45.480	774.22	-0.34337	200.45	0.11549	0.010349	liquid
96.806	0.24910	1335.0	0.00074907	-4.2720	-4.2645	59.558	20.219	45.553	770.56	-0.33986	197.70	0.11478	0.010231	liquid
97.306	0.25984	1331.7	0.00075093	-4.2493	-4.2416	59.791	20.164	45.630	766.89	-0.33625	195.01	0.11406	0.010112	liquid
97.806	0.27092	1328.4	0.00075280	-4.2267	-4.2186	60.024	20.110	45.709	763.21	-0.33256	192.36	0.11335	0.0099939	liquid
98.306	0.28236	1325.1	0.00075468	-4.2040	-4.1955	60.255	20.056	45.791	759.51	-0.32877	189.77	0.11264	0.0098759	liquid
98.806	0.29414	1321.7	0.00075659	-4.1813	-4.1724	60.486	20.003	45.875	755.81	-0.32489	187.22	0.11193	0.0097582	liquid
99.306	0.30629	1318.4	0.00075851	-4.1586	-4.1493	60.716	19.950	45.963	752.09	-0.32091	184.72	0.11122	0.0096408	liquid
99.806	0.31881	1315.0	0.00076045	-4.1358	-4.1261	60.945	19.898	46.054	748.36	-0.31684	182.26	0.11052	0.0095237	liquid
100.31	0.33170	1311.6	0.00076241	-4.1129	-4.1028	61.173	19.847	46.147	744.61	-0.31267	179.85	0.10981	0.0094068	liquid
100.81	0.34497	1308.2	0.00076439	-4.0901	-4.0796	61.401	19.796	46.244	740.86	-0.30839	177.49	0.10910	0.0092903	liquid
101.31	0.35863	1304.8	0.00076638	-4.0672	-4.0562	61.628	19.746	46.344	737.09	-0.30402	175.16	0.10840	0.0091740	liquid
101.81	0.37268	1301.4	0.00076840	-4.0443	-4.0328	61.854	19.696	46.447	733.31	-0.29954	172.87	0.10770	0.0090580	liquid
102.31	0.38714	1298.0	0.00077044	-4.0213	-4.0094	62.079	19.647	46.553	729.51	-0.29495	170.63	0.10700	0.0089424	liquid
102.81	0.40200	1294.5	0.00077249	-3.9983	-3.9859	62.304	19.599	46.662	725.70	-0.29025	168.42	0.10630	0.0088270	liquid
103.31	0.41728	1291.0	0.00077457	-3.9752	-3.9623	62.528	19.551	46.774	721.87	-0.28544	166.25	0.10561	0.0087119	liquid
103.81	0.43299	1287.5	0.00077667	-3.9521	-3.9387	62.751	19.504	46.890	718.04	-0.28051	164.12	0.10491	0.0085972	liquid
104.31	0.44912	1284.0	0.00077879	-3.9290	-3.9150	62.974	19.457	47.009	714.18	-0.27547	162.03	0.10422	0.0084827	liquid
104.81	0.46568	1280.5	0.00078094	-3.9058	-3.8912	63.196	19.411	47.132	710.31	-0.27031	159.97	0.10353	0.0083686	liquid
105.31	0.48269	1277.0	0.00078310	-3.8825	-3.8674	63.418	19.365	47.259	706.43	-0.26502	157.94	0.10283	0.0082547	liquid
105.81	0.50015	1273.4	0.00078529	-3.8592	-3.8436	63.639	19.320	47.389	702.53	-0.25961	155.95	0.10215	0.0081412	liquid
106.31	0.51807	1269.8	0.00078751	-3.8359	-3.8196	63.860	19.275	47.523	698.62	-0.25406	153.99	0.10146	0.0080280	liquid
106.81	0.53645	1266.2	0.00078974	-3.8125	-3.7956	64.079	19.231	47.660	694.69	-0.24839	152.06	0.10077	0.0079151	liquid
107.31	0.55530	1262.6	0.00079201	-3.7891	-3.7715	64.299	19.187	47.802	690.75	-0.24257	150.17	0.10008	0.0078025	liquid
107.81	0.57463	1259.0	0.00079430	-3.7656	-3.7473	64.518	19.145	47.948	686.79	-0.23662	148.30	0.099399	0.0076903	liquid
108.31	0.59444	1255.3	0.00079661	-3.7420	-3.7231	64.736	19.102	48.098	682.81	-0.23052	146.46	0.098715	0.0075783	liquid
