Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
115.78	0.073534	2446.6	0.00040872	-0.17515	-0.17263	-1.4580	21.225	43.334	698.95	-0.50798	452.42	0.095186	0.016418	liquid
116.28	0.076670	2442.9	0.00040935	-0.15352	-0.15089	-1.2716	21.184	43.359	696.88	-0.50623	446.44	0.094831	0.016309	liquid
116.78	0.079910	2439.1	0.00040999	-0.13188	-0.12913	-1.0858	21.144	43.386	694.81	-0.50446	440.58	0.094476	0.016201	liquid
117.28	0.083255	2435.3	0.00041062	-0.11023	-0.10736	-0.90073	21.103	43.413	692.75	-0.50264	434.84	0.094121	0.016092	liquid
117.78	0.086708	2431.5	0.00041126	-0.088561	-0.085573	-0.71634	21.063	43.441	690.67	-0.50080	429.21	0.093766	0.015983	liquid
118.28	0.090270	2427.7	0.00041191	-0.066884	-0.063768	-0.53263	21.024	43.470	688.60	-0.49891	423.69	0.093412	0.015875	liquid
118.78	0.093946	2423.9	0.00041255	-0.045194	-0.041946	-0.34959	20.984	43.500	686.53	-0.49700	418.28	0.093057	0.015767	liquid
119.28	0.097735	2420.1	0.00041320	-0.023491	-0.020107	-0.16721	20.945	43.531	684.45	-0.49504	412.98	0.092704	0.015658	liquid
119.78	0.10164	2416.3	0.00041385	-0.0017743	0.0017507	0.014527	20.907	43.562	682.37	-0.49305	407.78	0.092350	0.015550	liquid
120.28	0.10567	2412.5	0.00041451	0.019956	0.023626	0.19562	20.868	43.595	680.29	-0.49103	402.68	0.091997	0.015443	liquid
120.78	0.10982	2408.6	0.00041517	0.041700	0.045521	0.37609	20.830	43.629	678.21	-0.48897	397.68	0.091643	0.015335	liquid
121.28	0.11409	2404.8	0.00041583	0.063459	0.067435	0.55593	20.792	43.663	676.12	-0.48687	392.77	0.091296	0.015227	liquid
121.78	0.11849	2401.0	0.00041650	0.085233	0.089369	0.73515	20.755	43.699	674.04	-0.48473	387.95	0.090946	0.015120	liquid
122.28	0.12302	2397.1	0.00041717	0.10702	0.11132	0.91377	20.717	43.736	671.95	-0.48256	383.23	0.090596	0.015013	liquid
122.78	0.12768	2393.2	0.00041785	0.12883	0.13330	1.0918	20.680	43.773	669.86	-0.48034	378.59	0.090246	0.014906	liquid
123.28	0.13247	2389.4	0.00041852	0.15065	0.15530	1.2692	20.644	43.812	667.76	-0.47809	374.04	0.089896	0.014799	liquid
123.78	0.13740	2385.5	0.00041920	0.17249	0.17731	1.4461	20.607	43.851	665.67	-0.47580	369.57	0.089546	0.014692	liquid
124.28	0.14247	2381.6	0.00041989	0.19434	0.19936	1.6224	20.571	43.892	663.57	-0.47347	365.18	0.089196	0.014585	liquid
124.78	0.14768	2377.7	0.00042058	0.21621	0.22142	1.7981	20.535	43.933	661.47	-0.47110	360.88	0.088846	0.014479	liquid
125.28	0.15304	2373.8	0.00042127	0.23811	0.24351	1.9732	20.499	43.976	659.36	-0.46869	356.65	0.088497	0.014372	liquid
125.78	0.15854	2369.8	0.00042197	0.26001	0.26562	2.1478	20.464	44.020	657.26	-0.46624	352.49	0.088147	0.014266	liquid
126.28	0.16419	2365.9	0.00042267	0.28194	0.28776	2.3219	20.429	44.064	655.15	-0.46374	348.41	0.087798	0.014160	liquid
126.78	0.16999	2362.0	0.00042338	0.30389	0.30992	2.4954	20.394	44.110	653.04	-0.46121	344.41	0.087449	0.014054	liquid
127.28	0.17595	2358.0	0.00042408	0.32585	0.33211	2.6684	20.359	44.157	650.92	-0.45863	340.47	0.087101	0.013949	liquid
127.78	0.18206	2354.1	0.00042480	0.34784	0.35432	2.8409	20.325	44.205	648.81	-0.45600	336.60	0.086752	0.013843	liquid
128.28	0.18834	2350.1	0.00042551	0.36984	0.37656	3.0129	20.291	44.253	646.69	-0.45334	332.80	0.086404	0.013738	liquid
128.78	0.19477	2346.1	0.00042624	0.39187	0.39883	3.1844	20.257	44.303	644.57	-0.45063	329.07	0.086056	0.013633	liquid
129.28	0.20137	2342.1	0.00042696	0.41392	0.42112	3.3554	20.223	44.355	642.44	-0.44787	325.39	0.085708	0.013527	liquid
129.78	0.20814	2338.1	0.00042769	0.43599	0.44345	3.5258	20.190	44.407	640.31	-0.44507	321.78	0.085360	0.013423	liquid
130.28	0.21508	2334.1	0.00042843	0.45808	0.46580	3.6958	20.157	44.460	638.18	-0.44222	318.24	0.085013	0.013318	liquid
130.78	0.22220	2330.1	0.00042917	0.48019	0.48818	3.8654	20.124	44.515	636.05	-0.43933	314.75	0.084665	0.013213	liquid
131.28	0.22948	2326.1	0.00042991	0.50233	0.51060	4.0344	20.091	44.570	633.91	-0.43639	311.31	0.084318	0.013109	liquid
131.78	0.23695	2322.0	0.00043066	0.52449	0.53304	4.2030	20.059	44.627	631.77	-0.43339	307.94	0.083971	0.013005	liquid
132.28	0.24460	2318.0	0.00043141	0.54668	0.55552	4.3712	20.027	44.685	629.63	-0.43036	304.62	0.083625	0.012900	liquid
132.78	0.25243	2313.9	0.00043217	0.56888	0.57803	4.5389	19.995	44.744	627.48	-0.42727	301.36	0.083278	0.012796	liquid
133.28	0.26044	2309.8	0.00043293	0.59112	0.60056	4.7061	19.963	44.805	625.33	-0.42413	298.14	0.082932	0.012693	liquid
133.78	0.26865	2305.8	0.00043370	0.61337	0.62314	4.8729	19.931	44.866	623.18	-0.42094	294.98	0.082586	0.012589	liquid
134.28	0.27705	2301.7	0.00043447	0.63566	0.64574	5.0393	19.900	44.929	621.02	-0.41769	291.87	0.082240	0.012486	liquid
134.78	0.28564	2297.5	0.00043525	0.65797	0.66839	5.2053	19.869	44.993	618.86	-0.41440	288.81	0.081894	0.012382	liquid
135.28	0.29443	2293.4	0.00043603	0.68030	0.69106	5.3709	19.838	45.059	616.70	-0.41105	285.80	0.081549	0.012279	liquid
135.78	0.30342	2289.3	0.00043682	0.70267	0.71377	5.5360	19.808	45.125	614.53	-0.40765	282.83	0.081203	0.012176	liquid
136.28	0.31262	2285.2	0.00043761	0.72506	0.73652	5.7008	19.777	45.193	612.36	-0.40419	279.91	0.080858	0.012074	liquid
136.78	0.32202	2281.0	0.00043841	0.74748	0.75931	5.8652	19.747	45.263	610.18	-0.40068	277.04	0.080514	0.011971	liquid
137.28	0.33163	2276.8	0.00043921	0.76992	0.78213	6.0291	19.717	45.333	608.00	-0.39711	274.21	0.080169	0.011869	liquid
137.78	0.34145	2272.6	0.00044002	0.79240	0.80499	6.1927	19.688	45.405	605.82	-0.39348	271.42	0.079824	0.011766	liquid
138.28	0.35148	2268.4	0.00044083	0.81491	0.82789	6.3560	19.658	45.479	603.64	-0.38980	268.67	0.079480	0.011664	liquid
138.78	0.36173	2264.2	0.00044165	0.83744	0.85083	6.5188	19.629	45.554	601.45	-0.38605	265.97	0.079136	0.011562	liquid
139.28	0.37220	2260.0	0.00044247	0.86001	0.87381	6.6813	19.600	45.630	599.25	-0.38225	263.31	0.078792	0.011461	liquid
139.78	0.38289	2255.8	0.00044331	0.88260	0.89683	6.8435	19.571	45.708	597.05	-0.37838	260.68	0.078448	0.011359	liquid
140.28	0.39381	2251.5	0.00044414	0.90523	0.91989	7.0053	19.542	45.787	594.85	-0.37445	258.09	0.078105	0.011258	liquid
140.78	0.40496	2247.3	0.00044498	0.92789	0.94299	7.1667	19.514	45.868	592.65	-0.37046	255.54	0.077761	0.011157	liquid
141.28	0.41634	2243.0	0.00044583	0.95059	0.96614	7.3278	19.486	45.950	590.44	-0.36640	253.03	0.077418	0.011056	liquid
141.78	0.42795	2238.7	0.00044669	0.97331	0.98933	7.4886	19.458	46.034	588.22	-0.36228	250.55	0.077075	0.010955	liquid
142.28	0.43980	2234.4	0.00044755	0.99607	1.0126	7.6491	19.430	46.119	586.00	-0.35809	248.11	0.076732	0.010854	liquid
142.78	0.45189	2230.1	0.00044841	1.0189	1.0358	7.8093	19.403	46.206	583.78	-0.35383	245.70	0.076390	0.010754	liquid
143.28	0.46422	2225.7	0.00044929	1.0417	1.0592	7.9691	19.375	46.295	581.55	-0.34950	243.33	0.076047	0.010654	liquid
143.78	0.47680	2221.4	0.00045017	1.0646	1.0825	8.1287	19.348	46.385	579.32	-0.34511	240.99	0.075705	0.010553	liquid
144.28	0.48963	2217.0	0.00045105	1.0875	1.1060	8.2879	19.321	46.477	577.08	-0.34064	238.68	0.075363	0.010454	liquid
144.78	0.50271	2212.7	0.00045195	1.1104	1.1294	8.4469	19.295	46.571	574.83	-0.33610	236.40	0.075021	0.010354	liquid
145.28	0.51604	2208.3	0.00045285	1.1334	1.1529	8.6055	19.268	46.667	572.59	-0.33148	234.16	0.074679	0.010254	liquid
145.78	0.52963	2203.8	0.00045375	1.1564	1.1765	8.7639	19.242	46.764	570.33	-0.32679	231.94	0.074338	0.010155	liquid
146.28	0.54348	2199.4	0.00045467	1.1794	1.2001	8.9220	19.216	46.863	568.08	-0.32203	229.76	0.073996	0.010056	liquid
146.78	0.55759	2195.0	0.00045559	1.2025	1.2238	9.0799	19.190	46.964	565.81	-0.31718	227.60	0.073655	0.0099569	liquid
147.28	0.57197	2190.5	0.00045651	1.2256	1.2475	9.2375	19.165	47.067	563.55	-0.31226	225.47	0.073314	0.0098582	liquid
147.78	0.58661	2186.0	0.00045745	1.2488	1.2713	9.3948	19.140	47.172	561.27	-0.30725	223.37	0.072973	0.0097596	liquid
148.28	0.60153	2181.6	0.00045839	1.2720	1.2951	9.5519	19.114	47.279	558.99	-0.30217	221.29	0.072633	0.0096613	liquid
148.78	0.61672	2177.0	0.00045934	1.2953	1.3190	9.7088	19.090	47.388	556.71	-0.29699	219.25	0.072292	0.0095631	liquid
149.28	0.63220	2172.5	0.00046030	1.3186	1.3429	9.8654	19.065	47.499	554.42	-0.29174	217.22	0.071952	0.0094652	liquid
149.78	0.64795	2168.0	0.00046126	1.3419	1.3669	10.022	19.040	47.612	552.12	-0.28639	215.23	0.071612	0.0093674	liquid
150.28	0.66398	2163.4	0.00046223	1.3653	1.3910	10.178	19.016	47.727	549.82	-0.28096	213.26	0.071272	0.0092698	liquid
150.78	0.68030	2158.8	0.00046321	1.3887	1.4151	10.334	18.992	47.845	547.51	-0.27543	211.31	0.070932	0.0091725	liquid
151.28	0.69691	2154.2	0.00046420	1.4122	1.4393	10.490	18.969	47.965	545.20	-0.26981	209.38	0.070592	0.0090753	liquid
151.78	0.71382	2149.6	0.00046520	1.4357	1.4635	10.645	18.945	48.087	542.88	-0.26410	207.48	0.070253	0.0089783	liquid
152.28	0.73102	2145.0	0.00046621	1.4592	1.4878	10.801	18.922	48.211	540.55	-0.25829	205.61	0.069914	0.0088816	liquid
152.78	0.74851	2140.3	0.00046722	1.4828	1.5121	10.956	18.899	48.338	538.22	-0.25239	203.75	0.069575	0.0087850	liquid
153.28	0.76631	2135.6	0.00046824	1.5065	1.5366	11.111	18.876	48.467	535.88	-0.24638	201.92	0.069236	0.0086887	liquid
153.78	0.78441	2130.9	0.00046928	1.5302	1.5610	11.266	18.853	48.599	533.54	-0.24027	200.11	0.068897	0.0085926	liquid
154.28	0.80282	2126.2	0.00047032	1.5539	1.5856	11.420	18.831	48.734	531.19	-0.23405	198.32	0.068558	0.0084967	liquid
154.78	0.82154	2121.5	0.00047137	1.5777	1.6102	11.575	18.809	48.871	528.83	-0.22773	196.55	0.068220	0.0084010	liquid
155.28	0.84058	2116.7	0.00047243	1.6016	1.6349	11.729	18.787	49.011	526.46	-0.22130	194.80	0.067882	0.0083055	liquid
155.78	0.85993	2112.0	0.00047350	1.6255	1.6596	11.883	18.766	49.153	524.09	-0.21476	193.07	0.067544	0.0082102	liquid
156.28	0.87960	2107.2	0.00047457	1.6495	1.6844	12.037	18.744	49.299	521.71	-0.20810	191.36	0.067206	0.0081151	liquid
156.78	0.89959	2102.3	0.00047566	1.6735	1.7093	12.191	18.723	49.447	519.32	-0.20133	189.67	0.066868	0.0080203	liquid
157.28	0.91990	2097.5	0.00047676	1.6975	1.7343	12.345	18.702	49.599	516.93	-0.19444	188.00	0.066530	0.0079257	liquid
157.78	0.94055	2092.6	0.00047787	1.7217	1.7593	12.499	18.682	49.753	514.52	-0.18742	186.34	0.066193	0.0078313	liquid
158.28	0.96153	2087.7	0.00047899	1.7458	1.7844	12.652	18.662	49.911	512.11	-0.18028	184.70	0.065856	0.0077371	liquid
158.78	0.98284	2082.8	0.00048012	1.7701	1.8096	12.806	18.642	50.072	509.69	-0.17302	183.08	0.065519	0.0076432	liquid
159.28	1.0045	2077.9	0.00048126	1.7944	1.8349	12.959	18.622	50.236	507.27	-0.16562	181.48	0.065182	0.0075494	liquid
159.78	1.0265	2072.9	0.00048241	1.8187	1.8602	13.112	18.602	50.403	504.83	-0.15809	179.90	0.064845	0.0074560	liquid
160.28	1.0488	2067.9	0.00048357	1.8431	1.8856	13.266	18.583	50.575	502.39	-0.15043	178.33	0.064508	0.0073627	liquid
160.78	1.0715	2062.9	0.00048475	1.8676	1.9111	13.419	18.564	50.749	499.94	-0.14262	176.77	0.064172	0.0072697	liquid
161.28	1.0945	2057.9	0.00048593	1.8921	1.9367	13.572	18.546	50.928	497.48	-0.13467	175.24	0.063836	0.0071769	liquid
161.78	1.1179	2052.8	0.00048713	1.9167	1.9624	13.725	18.528	51.110	495.01	-0.12658	173.71	0.063500	0.0070843	liquid
162.28	1.1416	2047.7	0.00048834	1.9414	1.9881	13.878	18.510	51.296	492.53	-0.11834	172.21	0.063164	0.0069920	liquid
162.78	1.1657	2042.6	0.00048957	1.9661	2.0140	14.031	18.492	51.487	490.04	-0.10994	170.71	0.062828	0.0068999	liquid
163.28	1.1902	2037.5	0.00049080	1.9909	2.0399	14.184	18.475	51.681	487.55	-0.10138	169.23	0.062492	0.0068081	liquid
163.78	1.2150	2032.3	0.00049205	2.0158	2.0659	14.336	18.458	51.880	485.04	-0.092666	167.77	0.062157	0.0067165	liquid
164.28	1.2402	2027.1	0.00049331	2.0407	2.0920	14.489	18.441	52.083	482.52	-0.083784	166.32	0.061821	0.0066251	liquid
164.78	1.2658	2021.9	0.00049459	2.0657	2.1182	14.642	18.425	52.291	480.00	-0.074732	164.88	0.061486	0.0065340	liquid
165.28	1.2917	2016.6	0.00049587	2.0908	2.1445	14.795	18.408	52.504	477.46	-0.065507	163.46	0.061151	0.0064431	liquid
165.78	1.3180	2011.4	0.00049718	2.1160	2.1709	14.948	18.393	52.721	474.92	-0.056102	162.05	0.060816	0.0063525	liquid
166.28	1.3447	2006.0	0.00049849	2.1412	2.1974	15.100	18.377	52.943	472.36	-0.046514	160.65	0.060482	0.0062622	liquid
166.78	1.3718	2000.7	0.00049983	2.1665	2.2240	15.253	18.363	53.171	469.79	-0.036738	159.26	0.060147	0.0061721	liquid
167.28	1.3993	1995.3	0.00050117	2.1919	2.2507	15.406	18.348	53.404	467.21	-0.026768	157.89	0.059813	0.0060822	liquid
167.78	1.4272	1989.9	0.00050253	2.2174	2.2775	15.559	18.334	53.642	464.62	-0.016600	156.53	0.059479	0.0059927	liquid
168.28	1.4554	1984.5	0.00050391	2.2429	2.3044	15.712	18.320	53.887	462.02	-0.0062273	155.18	0.059144	0.0059033	liquid
168.78	1.4841	1979.0	0.00050531	2.2685	2.3314	15.865	18.307	54.137	459.40	0.0043550	153.84	0.058811	0.0058143	liquid
169.28	1.5131	1973.5	0.00050672	2.2942	2.3585	16.018	18.294	54.393	456.78	0.015153	152.51	0.058477	0.0057255	liquid
169.78	1.5426	1967.9	0.00050814	2.3200	2.3857	16.172	18.281	54.656	454.14	0.026173	151.19	0.058143	0.0056370	liquid
170.28	1.5724	1962.4	0.00050959	2.3459	2.4130	16.325	18.269	54.925	451.49	0.037421	149.88	0.057810	0.0055487	liquid
170.78	1.6027	1956.8	0.00051105	2.3719	2.4405	16.478	18.257	55.201	448.82	0.048904	148.58	0.057476	0.0054608	liquid
171.28	1.6334	1951.1	0.00051253	2.3979	2.4681	16.632	18.246	55.484	446.14	0.060629	147.30	0.057143	0.0053731	liquid
171.78	1.6645	1945.4	0.00051403	2.4241	2.4958	16.786	18.235	55.775	443.45	0.072603	146.02	0.056810	0.0052857	liquid
172.28	1.6960	1939.7	0.00051555	2.4503	2.5236	16.939	18.225	56.073	440.75	0.084834	144.75	0.056477	0.0051986	liquid
172.78	1.7280	1933.9	0.00051708	2.4767	2.5516	17.093	18.215	56.379	438.03	0.097330	143.49	0.056144	0.0051117	liquid
173.28	1.7603	1928.1	0.00051864	2.5031	2.5796	17.248	18.206	56.694	435.30	0.11010	142.24	0.055811	0.0050252	liquid
173.78	1.7932	1922.3	0.00052022	2.5297	2.6078	17.402	18.198	57.017	432.55	0.12315	141.00	0.055479	0.0049389	liquid
