
Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
90.694	0.011696	451.48	0.0022150	-1.1526	-1.1522	-11.389	34.776	54.029	1538.6	-0.48191	193.57	0.21119	0.017063	liquid
91.194	0.012469	450.81	0.0022182	-1.1256	-1.1252	-11.092	34.724	54.056	1534.1	-0.48083	190.64	0.21060	0.016964	liquid
91.694	0.013283	450.14	0.0022215	-1.0986	-1.0981	-10.797	34.672	54.084	1529.5	-0.47973	187.81	0.21000	0.016864	liquid
92.194	0.014139	449.48	0.0022248	-1.0715	-1.0710	-10.503	34.622	54.113	1525.0	-0.47861	185.08	0.20940	0.016765	liquid
92.694	0.015040	448.81	0.0022281	-1.0445	-1.0439	-10.210	34.572	54.143	1520.4	-0.47746	182.43	0.20880	0.016666	liquid
93.194	0.015986	448.14	0.0022315	-1.0174	-1.0168	-9.9188	34.523	54.174	1515.8	-0.47629	179.86	0.20819	0.016566	liquid
93.694	0.016981	447.47	0.0022348	-0.99032	-0.98971	-9.6290	34.474	54.206	1511.2	-0.47510	177.36	0.20758	0.016467	liquid
94.194	0.018024	446.79	0.0022382	-0.96322	-0.96258	-9.3405	34.426	54.239	1506.6	-0.47388	174.94	0.20696	0.016368	liquid
94.694	0.019119	446.12	0.0022416	-0.93611	-0.93542	-9.0534	34.379	54.273	1501.9	-0.47265	172.59	0.20634	0.016269	liquid
95.194	0.020267	445.44	0.0022450	-0.90898	-0.90825	-8.7676	34.332	54.308	1497.3	-0.47138	170.30	0.20572	0.016169	liquid
95.694	0.021469	444.77	0.0022484	-0.88183	-0.88105	-8.4831	34.286	54.344	1492.6	-0.47010	168.07	0.20509	0.016070	liquid
96.194	0.022729	444.09	0.0022518	-0.85466	-0.85384	-8.2000	34.241	54.380	1488.0	-0.46880	165.89	0.20446	0.015971	liquid
96.694	0.024046	443.41	0.0022552	-0.82748	-0.82661	-7.9181	34.196	54.417	1483.3	-0.46747	163.78	0.20383	0.015872	liquid
97.194	0.025425	442.73	0.0022587	-0.80027	-0.79935	-7.6375	34.151	54.455	1478.6	-0.46612	161.71	0.20319	0.015773	liquid
97.694	0.026865	442.05	0.0022622	-0.77305	-0.77208	-7.3581	34.107	54.493	1473.9	-0.46474	159.69	0.20255	0.015674	liquid
98.194	0.028370	441.36	0.0022657	-0.74582	-0.74479	-7.0800	34.063	54.533	1469.2	-0.46335	157.72	0.20191	0.015574	liquid
98.694	0.029942	440.68	0.0022692	-0.71856	-0.71747	-6.8031	34.020	54.573	1464.4	-0.46193	155.80	0.20126	0.015475	liquid
99.194	0.031582	439.99	0.0022728	-0.69128	-0.69013	-6.5274	33.976	54.614	1459.7	-0.46049	153.92	0.20061	0.015376	liquid
99.694	0.033293	439.31	0.0022763	-0.66399	-0.66277	-6.2529	33.934	54.655	1455.0	-0.45903	152.07	0.19996	0.015277	liquid
100.19	0.035077	438.62	0.0022799	-0.63667	-0.63539	-5.9796	33.892	54.697	1450.2	-0.45754	150.27	0.19930	0.015178	liquid
100.69	0.036936	437.93	0.0022835	-0.60934	-0.60798	-5.7074	33.850	54.740	1445.4	-0.45603	148.51	0.19865	0.015079	liquid
101.19	0.038872	437.23	0.0022871	-0.58198	-0.58055	-5.4364	33.808	54.783	1440.6	-0.45449	146.78	0.19799	0.014980	liquid
101.69	0.040887	436.54	0.0022907	-0.55460	-0.55310	-5.1665	33.766	54.827	1435.8	-0.45294	145.08	0.19732	0.014882	liquid
102.19	0.042984	435.85	0.0022944	-0.52721	-0.52562	-4.8977	33.725	54.872	1431.0	-0.45136	143.42	0.19666	0.014783	liquid
102.69	0.045165	435.15	0.0022981	-0.49979	-0.49812	-4.6301	33.685	54.917	1426.2	-0.44975	141.79	0.19599	0.014684	liquid
103.19	0.047433	434.45	0.0023018	-0.47235	-0.47060	-4.3635	33.644	54.963	1421.4	-0.44812	140.18	0.19532	0.014585	liquid
103.69	0.049789	433.75	0.0023055	-0.44489	-0.44305	-4.0980	33.604	55.010	1416.6	-0.44646	138.61	0.19465	0.014487	liquid
104.19	0.052235	433.05	0.0023092	-0.41740	-0.41547	-3.8336	33.564	55.057	1411.7	-0.44478	137.07	0.19398	0.014388	liquid
104.69	0.054776	432.35	0.0023130	-0.38990	-0.38787	-3.5702	33.524	55.105	1406.9	-0.44308	135.55	0.19330	0.014289	liquid
105.19	0.057412	431.64	0.0023167	-0.36237	-0.36024	-3.3079	33.484	55.154	1402.0	-0.44134	134.06	0.19262	0.014191	liquid
105.69	0.060146	430.94	0.0023205	-0.33482	-0.33258	-3.0465	33.445	55.203	1397.1	-0.43958	132.59	0.19194	0.014092	liquid
106.19	0.062981	430.23	0.0023244	-0.30725	-0.30490	-2.7862	33.406	55.253	1392.2	-0.43780	131.15	0.19126	0.013994	liquid
106.69	0.065919	429.52	0.0023282	-0.27965	-0.27719	-2.5269	33.367	55.304	1387.3	-0.43599	129.74	0.19058	0.013895	liquid
107.19	0.068963	428.81	0.0023321	-0.25203	-0.24945	-2.2686	33.328	55.355	1382.4	-0.43415	128.34	0.18989	0.013797	liquid
107.69	0.072116	428.09	0.0023359	-0.22439	-0.22168	-2.0113	33.290	55.407	1377.5	-0.43228	126.97	0.18921	0.013699	liquid
108.19	0.075379	427.38	0.0023399	-0.19672	-0.19389	-1.7549	33.252	55.460	1372.6	-0.43038	125.62	0.18852	0.013601	liquid
108.69	0.078756	426.66	0.0023438	-0.16903	-0.16607	-1.4995	33.213	55.513	1367.6	-0.42845	124.28	0.18783	0.013503	liquid
109.19	0.082249	425.94	0.0023477	-0.14131	-0.13821	-1.2451	33.176	55.568	1362.7	-0.42650	122.97	0.18714	0.013404	liquid
109.69	0.085861	425.22	0.0023517	-0.11357	-0.11033	-0.99156	33.138	55.622	1357.7	-0.42451	121.68	0.18645	0.013306	liquid
110.19	0.089594	424.50	0.0023557	-0.085803	-0.082417	-0.73896	33.100	55.678	1352.8	-0.42250	120.41	0.18575	0.013209	liquid
110.69	0.093451	423.77	0.0023598	-0.058011	-0.054473	-0.48727	33.063	55.734	1347.8	-0.42045	119.16	0.18506	0.013111	liquid
111.19	0.097436	423.05	0.0023638	-0.030194	-0.026499	-0.23648	33.026	55.792	1342.8	-0.41837	117.92	0.18436	0.013013	liquid
111.69	0.10155	422.32	0.0023679	-0.0023504	0.0015072	0.013419	32.989	55.849	1337.8	-0.41626	116.70	0.18367	0.012915	liquid
112.19	0.10580	421.59	0.0023720	0.025519	0.029545	0.26244	32.952	55.908	1332.8	-0.41412	115.50	0.18297	0.012818	liquid
112.69	0.11018	420.85	0.0023761	0.053415	0.057615	0.51059	32.915	55.968	1327.8	-0.41194	114.32	0.18227	0.012720	liquid
113.19	0.11470	420.12	0.0023803	0.081338	0.085718	0.75789	32.879	56.028	1322.8	-0.40973	113.15	0.18157	0.012623	liquid
113.69	0.11936	419.38	0.0023845	0.10929	0.11385	1.0043	32.843	56.089	1317.8	-0.40749	112.00	0.18087	0.012525	liquid
114.19	0.12416	418.64	0.0023887	0.13727	0.14202	1.2499	32.806	56.151	1312.7	-0.40520	110.86	0.18016	0.012428	liquid
114.69	0.12911	417.90	0.0023929	0.16527	0.17023	1.4947	32.770	56.214	1307.7	-0.40289	109.74	0.17946	0.012331	liquid
115.19	0.13421	417.16	0.0023972	0.19330	0.19847	1.7387	32.735	56.278	1302.6	-0.40053	108.63	0.17876	0.012234	liquid
115.69	0.13946	416.41	0.0024015	0.22137	0.22674	1.9818	32.699	56.343	1297.5	-0.39814	107.54	0.17805	0.012137	liquid
116.19	0.14487	415.67	0.0024058	0.24946	0.25505	2.2242	32.664	56.408	1292.5	-0.39571	106.46	0.17735	0.012040	liquid
116.69	0.15044	414.92	0.0024101	0.27758	0.28339	2.4658	32.628	56.475	1287.4	-0.39325	105.39	0.17664	0.011943	liquid
117.19	0.15616	414.17	0.0024145	0.30572	0.31177	2.7066	32.593	56.542	1282.3	-0.39074	104.34	0.17593	0.011846	liquid
117.69	0.16205	413.41	0.0024189	0.33390	0.34019	2.9466	32.558	56.611	1277.2	-0.38819	103.30	0.17523	0.011749	liquid
118.19	0.16811	412.65	0.0024233	0.36211	0.36865	3.1859	32.524	56.681	1272.1	-0.38560	102.28	0.17452	0.011653	liquid
118.69	0.17434	411.90	0.0024278	0.39035	0.39714	3.4244	32.489	56.751	1266.9	-0.38297	101.27	0.17381	0.011556	liquid
119.19	0.18074	411.13	0.0024323	0.41862	0.42567	3.6622	32.455	56.823	1261.8	-0.38029	100.27	0.17310	0.011460	liquid
119.69	0.18732	410.37	0.0024368	0.44692	0.45424	3.8992	32.420	56.896	1256.6	-0.37758	99.278	0.17239	0.011364	liquid
120.19	0.19407	409.60	0.0024414	0.47525	0.48286	4.1356	32.386	56.969	1251.5	-0.37481	98.302	0.17168	0.011268	liquid
120.69	0.20101	408.84	0.0024460	0.50362	0.51151	4.3712	32.353	57.044	1246.3	-0.37200	97.338	0.17097	0.011172	liquid
121.19	0.20814	408.07	0.0024506	0.53202	0.54020	4.6061	32.319	57.121	1241.1	-0.36915	96.385	0.17026	0.011076	liquid
121.69	0.21545	407.29	0.0024552	0.56045	0.56893	4.8403	32.285	57.198	1235.9	-0.36625	95.444	0.16955	0.010980	liquid
122.19	0.22295	406.52	0.0024599	0.58891	0.59771	5.0739	32.252	57.276	1230.7	-0.36329	94.513	0.16883	0.010884	liquid
122.69	0.23065	405.74	0.0024647	0.61740	0.62652	5.3067	32.219	57.356	1225.5	-0.36029	93.594	0.16812	0.010789	liquid
123.19	0.23855	404.96	0.0024694	0.64593	0.65539	5.5389	32.186	57.437	1220.3	-0.35724	92.685	0.16741	0.010693	liquid
123.69	0.24664	404.17	0.0024742	0.67450	0.68429	5.7705	32.153	57.520	1215.1	-0.35414	91.787	0.16670	0.010598	liquid
124.19	0.25494	403.38	0.0024790	0.70310	0.71324	6.0014	32.121	57.603	1209.8	-0.35098	90.899	0.16598	0.010502	liquid
124.69	0.26345	402.59	0.0024839	0.73174	0.74223	6.2317	32.088	57.688	1204.6	-0.34777	90.022	0.16527	0.010407	liquid
125.19	0.27217	401.80	0.0024888	0.76041	0.77127	6.4613	32.056	57.775	1199.3	-0.34451	89.154	0.16456	0.010312	liquid
125.69	0.28110	401.01	0.0024937	0.78911	0.80036	6.6903	32.024	57.863	1194.0	-0.34119	88.297	0.16384	0.010217	liquid
126.19	0.29025	400.21	0.0024987	0.81786	0.82949	6.9187	31.992	57.952	1188.7	-0.33781	87.449	0.16313	0.010123	liquid
126.69	0.29961	399.41	0.0025037	0.84664	0.85867	7.1466	31.961	58.043	1183.4	-0.33437	86.611	0.16241	0.010028	liquid
127.19	0.30921	398.60	0.0025088	0.87546	0.88790	7.3738	31.930	58.135	1178.1	-0.33087	85.782	0.16170	0.0099334	liquid
127.69	0.31902	397.80	0.0025138	0.90432	0.91718	7.6004	31.898	58.229	1172.8	-0.32731	84.962	0.16099	0.0098390	liquid
128.19	0.32907	396.99	0.0025190	0.93321	0.94651	7.8265	31.867	58.325	1167.5	-0.32369	84.151	0.16027	0.0097447	liquid
128.69	0.33935	396.18	0.0025241	0.96215	0.97589	8.0520	31.837	58.422	1162.1	-0.32001	83.350	0.15956	0.0096506	liquid
129.19	0.34987	395.36	0.0025293	0.99113	1.0053	8.2769	31.806	58.521	1156.7	-0.31625	82.557	0.15884	0.0095566	liquid
129.69	0.36062	394.54	0.0025346	1.0201	1.0348	8.5013	31.776	58.622	1151.4	-0.31243	81.773	0.15813	0.0094627	liquid
130.19	0.37162	393.72	0.0025399	1.0492	1.0643	8.7252	31.746	58.724	1146.0	-0.30855	80.998	0.15741	0.0093690	liquid
130.69	0.38286	392.89	0.0025452	1.0783	1.0939	8.9485	31.716	58.828	1140.6	-0.30459	80.231	0.15670	0.0092754	liquid
131.19	0.39435	392.06	0.0025506	1.1074	1.1236	9.1713	31.686	58.934	1135.2	-0.30056	79.472	0.15598	0.0091820	liquid
131.69	0.40610	391.23	0.0025560	1.1366	1.1533	9.3936	31.657	59.042	1129.8	-0.29646	78.721	0.15527	0.0090887	liquid
132.19	0.41810	390.40	0.0025615	1.1659	1.1830	9.6154	31.628	59.153	1124.3	-0.29228	77.979	0.15456	0.0089955	liquid
132.69	0.43036	389.56	0.0025670	1.1951	1.2129	9.8367	31.599	59.265	1118.9	-0.28802	77.244	0.15384	0.0089025	liquid
133.19	0.44288	388.71	0.0025726	1.2244	1.2427	10.058	31.570	59.379	1113.4	-0.28369	76.518	0.15313	0.0088096	liquid
133.69	0.45567	387.87	0.0025782	1.2538	1.2727	10.278	31.542	59.495	1107.9	-0.27927	75.799	0.15241	0.0087169	liquid
134.19	0.46873	387.02	0.0025839	1.2832	1.3027	10.498	31.514	59.613	1102.4	-0.27478	75.088	0.15170	0.0086243	liquid
134.69	0.48206	386.16	0.0025896	1.3127	1.3327	10.717	31.486	59.734	1096.9	-0.27019	74.384	0.15098	0.0085319	liquid
135.19	0.49567	385.31	0.0025953	1.3422	1.3628	10.936	31.458	59.857	1091.4	-0.26553	73.688	0.15027	0.0084396	liquid
135.69	0.50955	384.45	0.0026011	1.3717	1.3930	11.155	31.431	59.982	1085.9	-0.26077	72.999	0.14956	0.0083475	liquid
136.19	0.52372	383.58	0.0026070	1.4013	1.4232	11.373	31.404	60.110	1080.4	-0.25592	72.317	0.14884	0.0082555	liquid
136.69	0.53817	382.71	0.0026129	1.4310	1.4535	11.591	31.377	60.240	1074.8	-0.25098	71.642	0.14813	0.0081637	liquid
137.19	0.55292	381.84	0.0026189	1.4607	1.4839	11.808	31.350	60.373	1069.2	-0.24594	70.975	0.14742	0.0080721	liquid
137.69	0.56795	380.96	0.0026249	1.4904	1.5144	12.025	31.324	60.508	1063.6	-0.24081	70.314	0.14670	0.0079806	liquid
138.19	0.58328	380.08	0.0026310	1.5203	1.5449	12.241	31.298	60.647	1058.0	-0.23557	69.660	0.14599	0.0078893	liquid
