Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Phase1
10.000	0.10000	4.9529	0.20190	0.14076	0.22157	40.989	12.477	21.663	184.57	3.0409	2.2582e-06	0.016889	vapor
10.000	0.60000	34.562	0.028934	0.11698	0.18647	23.753	12.370	27.646	183.27	2.4865	2.6871e-06	0.019863	vapor
10.000	0.60000	34.562	0.028934	0.11698	0.18647	23.753	12.370	27.646	183.27	2.4865	2.6871e-06	0.019863	supercritical
10.000	0.60000	34.562	0.028934	0.11698	0.18647	23.753	12.370	27.646	183.27	2.4865	2.6871e-06	0.019863	supercritical
10.000	1.1000	67.351	0.014848	0.093717	0.15909	16.959	12.090	30.845	203.02	1.3546	3.1563e-06	0.023597	supercritical
10.000	1.6000	94.011	0.010637	0.076699	0.14482	13.053	11.900	28.997	236.56	0.53417	3.6268e-06	0.027202	supercritical
10.000	2.1000	111.96	0.0089319	0.066270	0.14135	10.769	11.787	25.610	270.76	0.016299	4.0564e-06	0.030402	supercritical
10.000	2.6000	124.64	0.0080234	0.059640	0.14314	9.2590	11.704	23.142	301.40	-0.29331	4.4522e-06	0.033262	supercritical
10.000	3.1000	134.23	0.0074497	0.055152	0.14759	8.1596	11.634	21.371	328.74	-0.49806	4.8241e-06	0.035854	supercritical
10.000	3.6000	141.91	0.0070467	0.051976	0.15351	7.3036	11.571	20.079	353.08	-0.64067	5.1797e-06	0.038238	supercritical
10.000	4.1000	148.31	0.0067426	0.049661	0.16031	6.6048	11.512	19.100	374.92	-0.74460	5.5248e-06	0.040463	supercritical
10.000	4.6000	153.81	0.0065015	0.047949	0.16766	6.0148	11.457	18.332	394.74	-0.82334	5.8634e-06	0.042562	supercritical
