Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Phase1	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)	Phase2
2.1768	0.0050393	146.02	0.0068486	-0.027592	-0.027454	-7.7072	12.603	12.630	220.55	-2.1329	3.5730e-06	0.013496	0.00028633	liquid	1.1744	0.85150	0.046318	0.063493	34.073	12.432	21.802	84.380	18.812	5.3759e-07	0.0039781	vapor
2.2268	0.0056835	145.95	0.0068519	-0.026990	-0.026834	-7.4337	11.431	11.528	221.31	-2.2998	3.6182e-06	0.013735	0.00028235	liquid	1.3004	0.76902	0.046829	0.064323	33.503	12.431	21.902	85.153	18.470	5.5325e-07	0.0041090	vapor
2.2768	0.0063821	145.83	0.0068574	-0.026436	-0.026260	-7.1873	10.543	10.738	222.10	-2.4340	3.6546e-06	0.013964	0.00027831	liquid	1.4345	0.69713	0.047332	0.065140	32.957	12.431	22.007	85.906	18.142	5.6886e-07	0.0042356	vapor
2.3268	0.0071374	145.67	0.0068648	-0.025915	-0.025719	-6.9610	9.8690	10.179	222.90	-2.5345	3.6834e-06	0.014183	0.00027419	liquid	1.5770	0.63413	0.047828	0.065944	32.433	12.431	22.118	86.638	17.828	5.8443e-07	0.0043586	vapor
2.3768	0.0079519	145.48	0.0068738	-0.025418	-0.025199	-6.7495	9.3577	9.7933	223.66	-2.6027	3.7056e-06	0.014394	0.00026999	liquid	1.7282	0.57865	0.048316	0.066733	31.930	12.432	22.237	87.349	17.525	5.9999e-07	0.0044787	vapor
2.4268	0.0088283	145.26	0.0068843	-0.024937	-0.024694	-6.5493	8.9712	9.5396	224.34	-2.6420	3.7223e-06	0.014598	0.00026573	liquid	1.8883	0.52957	0.048796	0.067509	31.444	12.433	22.361	88.040	17.235	6.1554e-07	0.0045966	vapor
2.4768	0.0097688	145.01	0.0068962	-0.024467	-0.024198	-6.3574	8.6812	9.3866	224.91	-2.6566	3.7340e-06	0.014794	0.00026140	liquid	2.0577	0.48598	0.049267	0.068269	30.976	12.435	22.493	88.712	16.955	6.3109e-07	0.0047127	vapor
2.5268	0.010776	144.73	0.0069092	-0.024004	-0.023706	-6.1718	8.4661	9.3115	225.35	-2.6507	3.7415e-06	0.014985	0.00025701	liquid	2.2365	0.44712	0.049730	0.069015	30.523	12.438	22.633	89.364	16.686	6.4665e-07	0.0048275	vapor
2.5768	0.011852	144.44	0.0069234	-0.023543	-0.023214	-5.9909	8.3097	9.2972	225.63	-2.6283	3.7454e-06	0.015169	0.00025256	liquid	2.4251	0.41235	0.050184	0.069746	30.085	12.441	22.780	89.996	16.426	6.6223e-07	0.0049412	vapor
2.6268	0.013000	144.12	0.0069386	-0.023082	-0.022721	-5.8135	8.1995	9.3311	225.75	-2.5931	3.7460e-06	0.015348	0.00024805	liquid	2.6238	0.38113	0.050630	0.070461	29.660	12.444	22.935	90.609	16.176	6.7785e-07	0.0050543	vapor
2.6768	0.014221	143.78	0.0069548	-0.022619	-0.022223	-5.6386	8.1258	9.4034	225.71	-2.5479	3.7439e-06	0.015522	0.00024348	liquid	2.8327	0.35301	0.051066	0.071161	29.248	12.448	23.098	91.204	15.935	6.9350e-07	0.0051668	vapor
2.7268	0.015519	143.43	0.0069720	-0.022153	-0.021719	-5.4656	8.0811	9.5070	225.51	-2.4953	3.7393e-06	0.015691	0.00023886	liquid	3.0523	0.32762	0.051493	0.071844	28.847	12.452	23.270	91.779	15.702	7.0921e-07	0.0052791	vapor
2.7768	0.016896	143.06	0.0069902	-0.021681	-0.021209	-5.2939	8.0594	9.6364	225.17	-2.4371	3.7326e-06	0.015855	0.00023419	liquid	3.2828	0.30462	0.051911	0.072511	28.457	12.457	23.451	92.336	15.478	7.2497e-07	0.0053912	vapor
2.8268	0.018353	142.67	0.0070092	-0.021204	-0.020689	-5.1230	8.0560	9.7872	224.69	-2.3748	3.7240e-06	0.016015	0.00022947	liquid	3.5246	0.28372	0.052318	0.073161	28.077	12.463	23.642	92.875	15.261	7.4080e-07	0.0055034	vapor
2.8768	0.019894	142.26	0.0070291	-0.020720	-0.020160	-4.9527	8.0672	9.9564	224.09	-2.3096	3.7137e-06	0.016169	0.00022470	liquid	3.7779	0.26470	0.052716	0.073793	27.706	12.469	23.844	93.395	15.051	7.5670e-07	0.0056158	vapor
2.9268	0.021521	141.84	0.0070500	-0.020227	-0.019620	-4.7825	8.0902	10.142	223.37	-2.2423	3.7019e-06	0.016320	0.00021989	liquid	4.0431	0.24734	0.053103	0.074408	27.344	12.476	24.056	93.898	14.848	7.7268e-07	0.0057284	vapor
2.9768	0.023235	141.41	0.0070717	-0.019727	-0.019069	-4.6123	8.1224	10.341	222.53	-2.1735	3.6888e-06	0.016466	0.00021504	liquid	4.3205	0.23145	0.053480	0.075006	26.990	12.483	24.279	94.382	14.652	7.8876e-07	0.0058413	vapor
3.0268	0.025040	140.96	0.0070944	-0.019218	-0.018507	-4.4420	8.1620	10.553	221.60	-2.1037	3.6746e-06	0.016607	0.00021015	liquid	4.6106	0.21689	0.053846	0.075584	26.644	12.491	24.515	94.848	14.462	8.0493e-07	0.0059546	vapor
3.0768	0.026938	140.49	0.0071180	-0.018699	-0.017932	-4.2712	8.2075	10.777	220.58	-2.0332	3.6593e-06	0.016744	0.00020523	liquid	4.9137	0.20351	0.054202	0.076145	26.305	12.500	24.763	95.297	14.278	8.2120e-07	0.0060684	vapor
3.1268	0.028931	140.01	0.0071425	-0.018171	-0.017344	-4.1000	8.2576	11.013	219.48	-1.9622	3.6431e-06	0.016877	0.00020027	liquid	5.2303	0.19120	0.054545	0.076685	25.972	12.509	25.025	95.728	14.100	8.3759e-07	0.0061828	vapor
3.1768	0.031021	139.51	0.0071680	-0.017632	-0.016742	-3.9281	8.3113	11.260	218.29	-1.8908	3.6261e-06	0.017005	0.00019528	liquid	5.5607	0.17983	0.054878	0.077207	25.645	12.518	25.302	96.141	13.927	8.5411e-07	0.0062977	vapor
3.2268	0.033211	139.00	0.0071945	-0.017083	-0.016126	-3.7555	8.3677	11.518	217.04	-1.8192	3.6083e-06	0.017129	0.00019027	liquid	5.9054	0.16934	0.055198	0.077708	25.324	12.529	25.595	96.536	13.759	8.7075e-07	0.0064133	vapor
3.2768	0.035502	138.47	0.0072219	-0.016523	-0.015496	-3.5820	8.4264	11.787	215.71	-1.7472	3.5898e-06	0.017248	0.00018523	liquid	6.2650	0.15962	0.055506	0.078188	25.008	12.540	25.904	96.914	13.596	8.8754e-07	0.0065296	vapor
3.3268	0.037898	137.92	0.0072505	-0.015951	-0.014851	-3.4076	8.4867	12.068	214.32	-1.6749	3.5708e-06	0.017363	0.00018016	liquid	6.6399	0.15060	0.055802	0.078647	24.697	12.551	26.231	97.274	13.438	9.0447e-07	0.0066467	vapor
3.3768	0.040401	137.36	0.0072801	-0.015368	-0.014190	-3.2322	8.5483	12.360	212.86	-1.6022	3.5511e-06	0.017473	0.00017508	liquid	7.0307	0.14223	0.056084	0.079084	24.390	12.564	26.578	97.616	13.284	9.2156e-07	0.0067646	vapor
3.4268	0.043013	136.78	0.0073109	-0.014772	-0.013514	-3.0557	8.6107	12.666	211.34	-1.5291	3.5309e-06	0.017579	0.00016998	liquid	7.4381	0.13444	0.056353	0.079499	24.087	12.577	26.946	97.940	13.134	9.3881e-07	0.0068834	vapor
3.4768	0.045736	136.19	0.0073429	-0.014164	-0.012820	-2.8780	8.6738	12.986	209.77	-1.4554	3.5103e-06	0.017680	0.00016486	liquid	7.8626	0.12718	0.056608	0.079891	23.788	12.590	27.337	98.247	12.988	9.5624e-07	0.0070031	vapor
3.5268	0.048573	135.57	0.0073761	-0.013544	-0.012110	-2.6989	8.7374	13.320	208.13	-1.3810	3.4892e-06	0.017777	0.00015973	liquid	8.3049	0.12041	0.056849	0.080259	23.492	12.605	27.752	98.536	12.847	9.7386e-07	0.0071277	vapor
3.5768	0.051526	134.94	0.0074107	-0.012910	-0.011382	-2.5185	8.8014	13.670	206.44	-1.3059	3.4677e-06	0.017869	0.00015459	liquid	8.7659	0.11408	0.057075	0.080602	23.198	12.620	28.195	98.807	12.708	9.9168e-07	0.0072505	vapor
3.6268	0.054597	134.29	0.0074466	-0.012262	-0.010635	-2.3366	8.8655	14.037	204.69	-1.2298	3.4457e-06	0.017956	0.00014945	liquid	9.2462	0.10815	0.057285	0.080920	22.907	12.636	28.667	99.061	12.573	1.0097e-06	0.0073748	vapor
3.6768	0.057789	133.62	0.0074840	-0.011601	-0.0098695	-2.1531	8.9299	14.424	202.88	-1.1526	3.4235e-06	0.018038	0.00014430	liquid	9.7469	0.10260	0.057480	0.081211	22.619	12.652	29.171	99.296	12.441	1.0280e-06	0.0075006	vapor
3.7268	0.061105	132.93	0.0075229	-0.010924	-0.0090843	-1.9679	8.9944	14.831	201.01	-1.0741	3.4008e-06	0.018115	0.00013915	liquid	10.269	0.097382	0.057658	0.081475	22.332	12.670	29.712	99.513	12.312	1.0464e-06	0.0076281	vapor
3.7768	0.064546	132.21	0.0075635	-0.010233	-0.0082785	-1.7808	9.0590	15.262	199.07	-0.99422	3.3778e-06	0.018187	0.00013399	liquid	10.813	0.092481	0.057818	0.081711	22.046	12.688	30.291	99.711	12.185	1.0652e-06	0.0077575	vapor
3.8268	0.068116	131.48	0.0076058	-0.0095251	-0.0074515	-1.5918	9.1237	15.718	197.08	-0.91265	3.3544e-06	0.018254	0.00012885	liquid	11.381	0.087868	0.057960	0.081916	21.761	12.707	30.915	99.891	12.061	1.0842e-06	0.0078890	vapor
3.8768	0.071816	130.72	0.0076500	-0.0088012	-0.0066022	-1.4006	9.1887	16.203	195.02	-0.82919	3.3307e-06	0.018317	0.00012370	liquid	11.973	0.083520	0.058083	0.082091	21.477	12.728	31.588	100.05	11.939	1.1034e-06	0.0080229	vapor
3.9268	0.075650	129.94	0.0076962	-0.0080600	-0.0057296	-1.2072	9.2540	16.720	192.89	-0.74361	3.3066e-06	0.018374	0.00011857	liquid	12.592	0.079417	0.058186	0.082234	21.194	12.749	32.315	100.20	11.819	1.1230e-06	0.0081595	vapor
