Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
14.000	0.0075414	76.969	0.012992	-53.720	-53.622	-3.0507	5.1625	7.0312	1268.3	-1.5728	2.5447e-05	0.097633	0.0030248	0.13272	7.5345	343.40	400.22	29.367	6.2449	10.570	307.56	29.101	6.4763e-07	0.010642
14.500	0.0099458	76.557	0.013062	-50.177	-50.047	-2.8020	5.1885	7.1701	1257.8	-1.5331	2.3918e-05	0.098442	0.0029367	0.16960	5.8963	346.16	404.80	28.567	6.2635	10.634	312.35	27.753	6.7520e-07	0.011117
15.000	0.012898	76.136	0.013134	-46.557	-46.388	-2.5566	5.2313	7.3386	1247.1	-1.4875	2.2552e-05	0.099195	0.0028487	0.21346	4.6847	348.86	409.28	27.821	6.2814	10.703	316.97	26.514	7.0265e-07	0.011600
15.500	0.016475	75.706	0.013209	-42.852	-42.634	-2.3135	5.2798	7.5245	1236.3	-1.4393	2.1320e-05	0.099893	0.0027608	0.26503	3.7731	351.49	413.65	27.124	6.2982	10.778	321.42	25.384	7.2999e-07	0.012089
16.000	0.020755	75.264	0.013287	-39.052	-38.777	-2.0722	5.3287	7.7212	1225.5	-1.3901	2.0202e-05	0.10053	0.0026730	0.32506	3.0763	354.07	417.91	26.471	6.3139	10.860	325.71	24.358	7.5726e-07	0.012588
16.500	0.025821	74.810	0.013367	-35.156	-34.811	-1.8323	5.3754	7.9257	1214.5	-1.3407	1.9181e-05	0.10112	0.0025853	0.39431	2.5361	356.56	422.05	25.856	6.3287	10.950	329.84	23.425	7.8447e-07	0.013095
17.000	0.031759	74.345	0.013451	-31.160	-30.733	-1.5936	5.4192	8.1368	1203.4	-1.2913	1.8244e-05	0.10165	0.0024977	0.47356	2.1117	358.98	426.04	25.276	6.3427	11.047	333.81	22.575	8.1165e-07	0.013613
17.500	0.038656	73.866	0.013538	-27.062	-26.539	-1.3558	5.4602	8.3545	1191.9	-1.2420	1.7381e-05	0.10212	0.0024102	0.56360	1.7743	361.31	429.90	24.726	6.3564	11.155	337.63	21.796	8.3883e-07	0.014142
18.000	0.046602	73.375	0.013629	-22.859	-22.224	-1.1188	5.4986	8.5793	1180.2	-1.1926	1.6583e-05	0.10253	0.0023229	0.66527	1.5032	363.54	433.59	24.204	6.3701	11.274	341.28	21.079	8.6603e-07	0.014684
18.500	0.055688	72.869	0.013723	-18.548	-17.784	-0.88236	5.5350	8.8120	1168.1	-1.1431	1.5843e-05	0.10289	0.0022358	0.77942	1.2830	365.68	437.13	23.707	6.3844	11.405	344.78	20.415	8.9330e-07	0.015239
